name,type,record_link,series_title,effective_from,through_to,completed,dp_law,_citations_dp_law,_caution_dp_law,_attachment_name_dp_law,dp_database,_citations_dp_database,_caution_dp_database,_attachment_name_dp_database,dp_url,_citations_dp_url,_caution_dp_url,_attachment_name_dp_url,dp_enacted,_citations_dp_enacted,_caution_dp_enacted,_attachment_name_dp_enacted,dp_effective_dt,_citations_dp_effective_dt,_caution_dp_effective_dt,_attachment_name_dp_effective_dt,dp_collected,_citations_dp_collected,_caution_dp_collected,_attachment_name_dp_collected,dp_valid_imp,_citations_dp_valid_imp,_caution_dp_valid_imp,_attachment_name_dp_valid_imp,dp_state_fed,_citations_dp_state_fed,_caution_dp_state_fed,_attachment_name_dp_state_fed,dp_state_fed_reference,_citations_dp_state_fed_reference,_caution_dp_state_fed_reference,_attachment_name_dp_state_fed_reference,dp_state_fed_citation,_citations_dp_state_fed_citation,_caution_dp_state_fed_citation,_attachment_name_dp_state_fed_citation,dp_type,_citations_dp_type,_caution_dp_type,_attachment_name_dp_type,dp_activity,_citations_dp_activity,_caution_dp_activity,_attachment_name_dp_activity,dp_penalties,_citations_dp_penalties,_caution_dp_penalties,_attachment_name_dp_penalties,dp_exemption,_citations_dp_exemption,_caution_dp_exemption,_attachment_name_dp_exemption,dp_exempt_sygen_activity,_citations_dp_exempt_sygen_activity,_caution_dp_exempt_sygen_activity,_attachment_name_dp_exempt_sygen_activity,dp_exempt_sy_ssp_activity,_citations_dp_exempt_sy_ssp_activity,_caution_dp_exempt_sy_ssp_activity,_attachment_name_dp_exempt_sy_ssp_activity,dp_exempt_can_activity,_citations_dp_exempt_can_activity,_caution_dp_exempt_can_activity,_attachment_name_dp_exempt_can_activity,dp_exempt_DCEgen_activity,_citations_dp_exempt_DCEgen_activity,_caution_dp_exempt_DCEgen_activity,_attachment_name_dp_exempt_DCEgen_activity,dp_exempt_fentDCE_activity,_citations_dp_exempt_fentDCE_activity,_caution_dp_exempt_fentDCE_activity,_attachment_name_dp_exempt_fentDCE_activity,dp_exempt_xyDCE_activity,_citations_dp_exempt_xyDCE_activity,_caution_dp_exempt_xyDCE_activity,_attachment_name_dp_exempt_xyDCE_activity,dp_exempt_DCE_ssp_activity,_citations_dp_exempt_DCE_ssp_activity,_caution_dp_exempt_DCE_ssp_activity,_attachment_name_dp_exempt_DCE_ssp_activity,dp_exempt_fentDCE_ssp_activity,_citations_dp_exempt_fentDCE_ssp_activity,_caution_dp_exempt_fentDCE_ssp_activity,_attachment_name_dp_exempt_fentDCE_ssp_activity,dp_exempt_xyDCE_ssp_activity,_citations_dp_exempt_xyDCE_ssp_activity,_caution_dp_exempt_xyDCE_ssp_activity,_attachment_name_dp_exempt_xyDCE_ssp_activity,dp_exempt_SEgen_activity,_citations_dp_exempt_SEgen_activity,_caution_dp_exempt_SEgen_activity,_attachment_name_dp_exempt_SEgen_activity,dp_exempt_SE_ssp_activity,_citations_dp_exempt_SE_ssp_activity,_caution_dp_exempt_SE_ssp_activity,_attachment_name_dp_exempt_SE_ssp_activity,dp_exempt_unspec_ssp_activity,_citations_dp_exempt_unspec_ssp_activity,_caution_dp_exempt_unspec_ssp_activity,_attachment_name_dp_exempt_unspec_ssp_activity,dp_note,_citations_dp_note,_caution_dp_note,_attachment_name_dp_note
"Abilene, Taylor County, Texas, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/75898,DPL_2025_Consolidated,2022-12-31,2024-12-31,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Abilene, Taylor County, Texas, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/64055,DPL_2023_Consolidated,2022-12-31,2023-01-01,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Akron, Summit County, Ohio, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/63452,DPL_2023_Consolidated,2022-12-31,2023-01-01,11,1,-,-,-,Municode,-,-,-,https://library.municode.com/oh/akron/codes/code_of_ordinances?nodeId=TIT13GEOF_CH138DROF_ART3UNTR_138.28USPOSADRPA,-,-,-,07/25/2016,-,-,-,-,-,-,-,09/22/2023,-,-,-,"Known, current through date published in ordinance",-,-,-,State (ARCHIVE) ,138.28 -,-,-,-,-,-,-,-,-,-,-,"Syringes, hypodermic needles, other inject/ion/ing equipment/instrument/supplies , Pipes, other smoke/ing or inhal/ing/ation equipment or supplies, Drug test/ing or check/ing equipment or supplies, Other","138.27 -,138.11 - Possessing drug ,138.28 - Use, possession,",-,-,"Sales (ARCHIVE), Non-sale distribution/delivery (ARCHIVE), Possession, possession with intent to use, keep, Use, Advertising, display, Manufacturing, manufacture with intent to deliver or sell, Other","138.28 - Use, possession,,138.27 - Dispensing of il",-,-,"Criminal (ARCHIVE) , Forfeiture/Seizure, Other","138.27 - Dispensing of il,138.28 -,138.28 -,138.28 - Use, possession,",-,-,"Syringes for approved medical use (i.e. diabetes) , Paraphernalia for consumption of cannabis, generally (ARCHIVE), Professionals acting in their course of business [e.g. pharmacists, physicians, manufacturers]","138.28 -,138.11 -,138.11 - Possessing drug ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Akron, Summit County, Ohio, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/75651,DPL_2025_Consolidated,2022-12-31,2024-12-31,14,1,-,-,-,Municode,-,-,-,https://library.municode.com/oh/akron/codes/code_of_ordinances?nodeId=TIT13GEOF_CH138DROF_ART3UNTR_138.28USPOSADRPA,-,-,-,07/25/2016,-,-,-,-,-,-,-,08/22/2025,-,-,-,"Known, current through date published in ordinance",-,-,-,State (ARCHIVE) ,-,-,-,1,-,-,-,ORC § 3719.172,-,-,-,"Syringes, hypodermic needles, other inject/ion/ing equipment/instrument/supplies , Pipes, other smoke/ing or inhal/ing/ation equipment or supplies, Drug test/ing or check/ing equipment or supplies, Other","138.28 - Use, possession,,138.27 -,138.11 - Possessing drug ",-,-,"Sales, possession with intent to sell, offer for sale (NEW), Delivery, possession with intent to deliver/distribute, distribution, transfer, furnish, exchange (NEW), Possession, possession with intent to use, keep, Use, Advertising, display, Manufacturing, manufacture with intent to deliver or sell, Other","138.28 - Use, possession,,138.27 - Dispensing of il,138.11 - Possessing drug ","make, obtain",-,"Misdemeanor (NEW), Forfeiture/Seizure","138.28 - Use, possession,,138.28 -,138.27 - Dispensing of il",-,-,"Syringes for approved medical use (i.e. diabetes) , Paraphernalia for consumption of cannabis, generally or medical use (NEW), Professionals acting in their course of business [e.g. pharmacists, physicians, manufacturers]","Section 3719.172 | Posses,138.11 - Possessing drug ,138.28 -",-,-,-,-,-,-,-,-,-,-,"Possession, Use, Other",-,"manufacture, obtain",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Alameda, Alameda County, California, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/63088,DPL_2023_Consolidated,2022-12-31,2023-01-01,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Alameda, Alameda County, California, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/77445,DPL_2025_Consolidated,2022-12-31,2024-12-31,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Albuquerque, Bernalillo County, New Mexico, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/63589,DPL_2023_Consolidated,2022-12-31,2023-01-01,11,1,-,-,-,ALP,-,-,-,https://codelibrary.amlegal.com/codes/albuquerque/latest/albuquerque_nm/0-0-0-101441,-,-,-,03/07/2022,-,-,-,-,-,-,-,08/21/2023,-,-,-,"Known, current through date published in ordinance",-,-,-,State (ARCHIVE) ,§ 12-4-10,-,-,-,-,-,-,-,-,-,-,"Syringes, hypodermic needles, other inject/ion/ing equipment/instrument/supplies , Pipes, other smoke/ing or inhal/ing/ation equipment or supplies, Drug test/ing or check/ing equipment or supplies, Other","§ 12-4-10 UNLAWFUL ADVERT,§ 12-4-10 UNLAWFUL ADVERT",-,-,"Non-sale distribution/delivery (ARCHIVE), Advertising, display, Manufacturing, manufacture with intent to deliver or sell","§ 12-4-10 UNLAWFUL ADVERT,§ 12-4-10 UNLAWFUL ADVERT",-,-,Criminal (ARCHIVE) ,"§ 1-1-99,§ 12-1-99 PENALTY.",-,-,"Paraphernalia for consumption of cannabis, generally (ARCHIVE)",§ 12-4-10 UNLAWFUL ADVERT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Albuquerque, Bernalillo County, New Mexico, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/74949,DPL_2025_Consolidated,2022-12-31,2024-12-31,13,1,-,-,-,ALP,-,-,-,https://codelibrary.amlegal.com/codes/albuquerque/latest/albuquerque_nm/0-0-0-101441,-,-,-,03/07/2022,-,-,-,-,-,-,-,08/18/2025,-,-,-,"Known, current through date published in ordinance",-,-,-,State (ARCHIVE) ,-,-,-,0,-,-,-,-,-,-,-,"Syringes, hypodermic needles, other inject/ion/ing equipment/instrument/supplies , Pipes, other smoke/ing or inhal/ing/ation equipment or supplies, Drug test/ing or check/ing equipment or supplies, Other","§ 12-4-10 UNLAWFUL ADVERT,§ 12-4-10 UNLAWFUL ADVERT",-,-,"Delivery, possession with intent to deliver/distribute, distribution, transfer, furnish, exchange (NEW), Advertising, display, Manufacturing, manufacture with intent to deliver or sell","§ 12-4-10 UNLAWFUL ADVERT,§ 12-4-10 UNLAWFUL ADVERT",-,-,"Unspecified Fine (NEW), Incarceration (NEW)","§ 1-1-99,§ 12-1-99 PENALTY.",-,-,"Paraphernalia for consumption of cannabis, generally or medical use (NEW)",§ 12-4-10 UNLAWFUL ADVERT,-,-,-,-,-,-,-,-,-,-,Possession,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Alexandria, Virginia, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/62917,DPL_2023_Consolidated,2022-12-31,2023-01-01,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Alexandria, Virginia, United States",city,https://app.monqcle.com/org/cphlr/project/drug-paraphernalia-laws-1689792283/record/75526,DPL_2025_Consolidated,2022-12-31,2024-12-31,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
